pokedex_number,name,type1,type2,hp,attack,defense,speed
1,Bulbasaur,grass,poison,45,49,49,45
2,Ivysaur,grass,poison,60,62,63,60
3,Venusaur,grass,poison,80,100,123,80
4,Charmander,fire,,39,52,43,65
5,Charmeleon,fire,,58,64,58,80
6,Charizard,fire,flying,78,104,78,100
7,Squirtle,water,,44,48,65,43
8,Wartortle,water,,59,63,80,58
9,Blastoise,water,,79,103,120,78
10,Caterpie,bug,,45,30,35,45
11,Metapod,bug,,50,20,55,30
12,Butterfree,bug,flying,60,45,50,70
13,Weedle,bug,poison,40,35,30,50
14,Kakuna,bug,poison,45,25,50,35
15,Beedrill,bug,poison,65,150,40,145
16,Pidgey,normal,flying,40,45,40,56
17,Pidgeotto,normal,flying,63,60,55,71
18,Pidgeot,normal,flying,83,80,80,121
19,Rattata,normal,dark,30,56,35,72
20,Raticate,normal,dark,75,71,70,77
21,Spearow,normal,flying,40,60,30,70
22,Fearow,normal,flying,65,90,65,100
23,Ekans,poison,,35,60,44,55
24,Arbok,poison,,60,95,69,80
25,Pikachu,electric,,35,55,40,90
26,Raichu,electric,electric,60,85,50,110
27,Sandshrew,ground,ice,50,75,90,40
28,Sandslash,ground,ice,75,100,120,65
29,Nidoran♀,poison,,55,47,52,41
30,Nidorina,poison,,70,62,67,56
31,Nidoqueen,poison,ground,90,92,87,76
32,Nidoran♂,poison,,46,57,40,50
33,Nidorino,poison,,61,72,57,65
34,Nidoking,poison,ground,81,102,77,85
35,Clefairy,fairy,,70,45,48,35
36,Clefable,fairy,,95,70,73,60
37,Vulpix,fire,ice,38,41,40,65
38,Ninetales,fire,ice,73,67,75,109
39,Jigglypuff,normal,fairy,115,45,20,20
40,Wigglytuff,normal,fairy,140,70,45,45
41,Zubat,poison,flying,40,45,35,55
42,Golbat,poison,flying,75,80,70,90
43,Oddish,grass,poison,45,50,55,30
44,Gloom,grass,poison,60,65,70,40
45,Vileplume,grass,poison,75,80,85,50
46,Paras,bug,grass,35,70,55,25
47,Parasect,bug,grass,60,95,80,30
48,Venonat,bug,poison,60,55,50,45
49,Venomoth,bug,poison,70,65,60,90
50,Diglett,ground,ground,10,55,30,90
51,Dugtrio,ground,ground,35,100,60,110
52,Meowth,normal,dark,40,35,35,90
53,Persian,normal,dark,65,60,60,115
54,Psyduck,water,,50,52,48,55
55,Golduck,water,,80,82,78,85
56,Mankey,fighting,,40,80,35,70
57,Primeape,fighting,,65,105,60,95
58,Growlithe,fire,,55,70,45,60
59,Arcanine,fire,,90,110,80,95
60,Poliwag,water,,40,50,40,90
61,Poliwhirl,water,,65,65,65,90
62,Poliwrath,water,fighting,90,95,95,70
63,Abra,psychic,,25,20,15,90
64,Kadabra,psychic,,40,35,30,105
65,Alakazam,psychic,,55,50,65,150
66,Machop,fighting,,70,80,50,35
67,Machoke,fighting,,80,100,70,45
68,Machamp,fighting,,90,130,80,55
69,Bellsprout,grass,poison,50,75,35,40
70,Weepinbell,grass,poison,65,90,50,55
71,Victreebel,grass,poison,80,105,65,70
72,Tentacool,water,poison,40,40,35,70
73,Tentacruel,water,poison,80,70,65,100
74,Geodude,rock,ground,40,80,100,20
75,Graveler,rock,ground,55,95,115,35
76,Golem,rock,ground,80,120,130,45
77,Ponyta,fire,,50,85,55,90
78,Rapidash,fire,,65,100,70,105
79,Slowpoke,water,psychic,90,65,65,15
80,Slowbro,water,psychic,95,75,180,30
81,Magnemite,electric,steel,25,35,70,45
82,Magneton,electric,steel,50,60,95,70
83,Farfetch'd,normal,flying,52,90,55,60
84,Doduo,normal,flying,35,85,45,75
85,Dodrio,normal,flying,60,110,70,110
86,Seel,water,,65,45,55,45
87,Dewgong,water,ice,90,70,80,70
88,Grimer,poison,poison,80,80,50,25
89,Muk,poison,poison,105,105,75,50
90,Shellder,water,,30,65,100,40
91,Cloyster,water,ice,50,95,180,70
92,Gastly,ghost,poison,30,35,30,80
93,Haunter,ghost,poison,45,50,45,95
94,Gengar,ghost,poison,60,65,80,130
95,Onix,rock,ground,35,45,160,70
96,Drowzee,psychic,,60,48,45,42
97,Hypno,psychic,,85,73,70,67
98,Krabby,water,,30,105,90,50
99,Kingler,water,,55,130,115,75
100,Voltorb,electric,,40,30,50,100
101,Electrode,electric,,60,50,70,150
102,Exeggcute,grass,psychic,60,40,80,40
103,Exeggutor,grass,psychic,95,105,85,45
104,Cubone,ground,,50,50,95,35
105,Marowak,ground,fire,60,80,110,45
106,Hitmonlee,fighting,,50,120,53,87
107,Hitmonchan,fighting,,50,105,79,76
108,Lickitung,normal,,90,55,75,30
109,Koffing,poison,,40,65,95,35
110,Weezing,poison,,65,90,120,60
111,Rhyhorn,ground,rock,80,85,95,25
112,Rhydon,ground,rock,105,130,120,40
113,Chansey,normal,,250,5,5,50
114,Tangela,grass,,65,55,115,60
115,Kangaskhan,normal,,105,125,100,100
116,Horsea,water,,30,40,70,60
117,Seadra,water,,55,65,95,85
118,Goldeen,water,,45,67,60,63
119,Seaking,water,,80,92,65,68
120,Staryu,water,,30,45,55,85
121,Starmie,water,psychic,60,75,85,115
122,Mr. Mime,psychic,fairy,40,45,65,90
123,Scyther,bug,flying,70,110,80,105
124,Jynx,ice,psychic,65,50,35,95
125,Electabuzz,electric,,65,83,57,105
126,Magmar,fire,,65,95,57,93
127,Pinsir,bug,,65,155,120,105
128,Tauros,normal,,75,100,95,110
129,Magikarp,water,,20,10,55,80
130,Gyarados,water,flying,95,155,109,81
131,Lapras,water,ice,130,85,80,60
132,Ditto,normal,,48,48,48,48
133,Eevee,normal,,55,55,50,55
